prompt,seed,step_wall_ms,step_gpu_ms,render_ms,sd_guidance_ms,backprop_ms,densify_ms,px_per_s,memory_allocated_mb,max_memory_allocated_mb,total_components_ms
bulldozer,123,658.4999660112996,658.7049898959623,44.13593259621596,223.2276942248982,246.2629902748262,144.87334891535932,812723.7029864091,23412.71711111541,38822.35194925743,658.4999660112996
bulldozer,42,652.6036124773286,652.8119588417582,42.21026996371917,224.09837811004996,246.22239823692874,140.07256616663076,826408.7097321379,23360.068833152847,38701.14525158571,652.6036124773286
bulldozer,456,654.2900190527301,654.4762092816948,43.00798765512755,223.4530030463887,246.34799230982097,141.481036041393,821964.870751445,23376.031419206374,38740.328980700804,654.2900190527303
bulldozer,789,654.4196583528883,654.6233735037322,42.12662342493192,224.14760621227694,246.3543825243406,141.79104619133886,821635.9722402118,23377.87609258973,38742.822478341586,654.4196583528883
cactus,123,646.1882142230204,646.3865305079092,40.81917527860197,223.40276786172302,246.14016229222244,135.82610879047303,841189.6979554422,23330.919017829518,38589.633155747215,646.1882142230204
cactus,42,645.1070264954636,645.3107825553063,40.92559413431157,223.7382840070099,245.54210150669707,134.9010468474451,843311.5405610818,23322.920879099627,38569.348197710395,645.1070264954636
cactus,456,640.8517093277803,641.0381025559832,40.164010460940325,222.79740041260155,245.99067685839785,131.89962159584064,852143.6798789871,23290.446680654393,38495.294472269496,640.8517093277803
cactus,789,645.651939719233,645.8625010877553,40.68360657726258,223.8500198270978,246.3102845087795,134.80802880609315,844171.1817085191,23309.305939627167,38539.66565303991,645.651939719233
hamburger,123,616.8096302962392,616.9968690777769,33.01333304549946,221.60654897930672,245.94775636883287,116.24199190260012,900134.6621508144,23167.905254099627,38226.95689105043,616.8096302962392
hamburger,42,618.2203890714278,618.4112796594601,32.68236403657806,222.54021667949118,246.18926590843367,116.8085424469249,900275.0976806289,23159.49150100557,38206.785117574254,618.2203890714278
hamburger,456,618.7850312481976,618.9859316986386,33.0122673220121,222.13017059222676,246.41547188633075,117.22712144762794,898927.9960626509,23163.364934637993,38219.84888903929,618.7850312481976
hamburger,789,617.3153801724352,617.5100142979386,33.09046211514143,222.15040061521427,246.23763343863337,115.8368840034461,902419.4669102983,23154.244609568377,38192.64540145421,617.3153801724352
icecream,123,641.343684973066,641.5512828260365,39.590499373060645,225.86783197579334,247.0106439466708,128.87470967754132,859214.1822470528,23249.202071086016,38404.70220645111,641.343684973066
icecream,42,639.8605838680805,640.0756872196009,40.60296272619231,223.76691744810358,245.95070950511732,129.53999418866738,857251.6686104719,23246.96513381807,38394.76378306776,639.8605838680805
icecream,456,639.3280669027885,639.5353493265586,40.35239013160883,223.16373352394763,246.37925645133646,129.4326867958955,858318.7566356529,23245.511438350866,38393.542567489174,639.3280669027884
icecream,789,636.6944793694754,636.8920052405631,38.549728108348674,223.50912106610687,246.1816084174679,128.45402177755196,861785.6216069403,23238.641118115716,38378.941971882734,636.6944793694754
sundae,123,635.3454603260328,635.5269446042505,35.71297791048811,230.6335878185006,246.08696907030253,122.91192552674156,876840.9740132564,23208.966835550742,38315.6339244276,635.3454603260328
sundae,42,627.6744637790478,627.8622478825031,36.14706603930065,223.19644542484738,245.88604498940455,122.44490732549515,875171.9674805182,23221.15398263459,38341.51153987469,627.6744637790478
sundae,456,628.2394017429451,628.437114149037,36.89629036592006,222.8657901333184,246.36345649009,122.11386475361662,876713.55634186,23208.268559521966,38311.72619024598,628.2394017429451
sundae,789,629.3513546305902,629.5616273785581,37.0851541975384,222.93555449307112,246.28328811607813,123.04735782390257,874268.0614420847,23218.51493850557,38334.10625676825,629.3513546305902
tulip,123,621.2783979072171,621.4636547730701,34.21628553337316,224.11703318587993,246.19812115630376,116.74695803166026,897416.1485286274,23113.70416441058,38097.42432607518,621.2783979072171
tulip,42,617.9747445080061,618.1862339737391,33.182752546900424,222.31812160323827,246.46533455810334,116.00853579976402,901046.9654568215,23096.713412747526,38061.80024462407,617.974744508006
tulip,456,617.1550081586373,617.3349769516747,33.40975734598861,221.68289679840282,246.1582340189431,115.90411999530279,904541.7393942232,23089.696245552288,38043.10393138923,617.1550081586373
tulip,789,617.7228958816221,617.9397401715269,33.014979273412784,222.64445746216074,246.46958060064676,115.59387854540186,904511.0746073215,23091.729936958538,38048.29685082766,617.7228958816221
