prompt,seed,inter_particle_diversity_mean,cross_view_consistency_mean,fidelity_mean
bulldozer,123,0.2609897255897522,0.8083807229995728,0.3764858543872833
bulldozer,42,0.2661126255989074,0.7908828854560852,0.3858354091644287
bulldozer,456,0.2460777014493942,0.7977229952812195,0.3742215931415558
bulldozer,789,0.2579642832279205,0.8112597465515137,0.3795325458049774
cactus,123,0.226806640625,0.8779890537261963,0.3764752745628357
cactus,42,0.2243065536022186,0.8836493492126465,0.375993937253952
cactus,456,0.231649100780487,0.8638333082199097,0.3747848868370056
cactus,789,0.2302775084972381,0.8838288187980652,0.3785979747772217
hamburger,123,0.2533270120620727,0.8576557040214539,0.4053667187690735
hamburger,42,0.2339877188205719,0.8608381152153015,0.4166728258132934
hamburger,456,0.267804741859436,0.8577439785003662,0.4088121056556701
hamburger,789,0.2707368433475494,0.8606839776039124,0.4098073244094848
icecream,123,0.2754522562026977,0.8093537092208862,0.4198472201824188
icecream,42,0.3033842146396637,0.8092491626739502,0.4192271828651428
icecream,456,0.2731881737709045,0.7954496741294861,0.4191458225250244
icecream,789,0.3005256652832031,0.8047172427177429,0.4135967195034027
sundae,123,0.3010965585708618,0.7886162996292114,0.3765162825584411
sundae,42,0.3311934471130371,0.7983613014221191,0.3772755265235901
sundae,456,0.3003382980823517,0.7927652597427368,0.3780934810638428
sundae,789,0.2993627786636352,0.7928202152252197,0.3779177069664001
tulip,123,0.2299675345420837,0.8569995164871216,0.3863309025764465
tulip,42,0.2260627448558807,0.8511732220649719,0.3839855790138244
tulip,456,0.2433427423238754,0.8460686206817627,0.3830769062042236
tulip,789,0.2313875555992126,0.849000096321106,0.3855826258659363
