experiment,n_runs,n_prompts,n_seeds,fidelity_overall_mean,fidelity_overall_std,fidelity_best,fidelity_worst,diversity_overall_mean,diversity_overall_std,diversity_best,diversity_worst,cross_consistency_overall_mean,cross_consistency_overall_std,cross_consistency_best,cross_consistency_worst
exp0_baseline,16,4,4,0.3983301594853401,0.015028661727762713,0.420074999332428,0.3755319714546203,0.1378112351521849,0.038115158943892606,0.1928245723247528,0.0952420309185981,0.8532215356826782,0.041388522227441084,0.8984230756759644,0.8052958250045776
exp0_baseline_indep,16,4,4,0.397882541641593,0.015265818297048843,0.4207800626754761,0.3738555312156677,0.16527440166100854,0.04251643857078705,0.2189752459526062,0.1134312748908996,0.852546963840723,0.041178035059265594,0.8981857299804688,0.7993022203445435
exp1_repulsion_kernel,64,4,4,0.3823093343526125,0.021875480971342214,0.4192430377006531,0.3376175165176391,0.22493400843814013,0.0458114975665858,0.3292612731456756,0.1588025838136673,0.8391843354329467,0.0332788436151968,0.8906332850456238,0.7848920822143555
exp2_lambda_coarse,20,4,1,0.37395661771297456,0.04649158685012504,0.419966459274292,0.255807101726532,0.21233836263418193,0.08211069474818014,0.3690352439880371,0.1024107560515403,0.8498024821281434,0.038006962051662825,0.8991813659667969,0.7854094505310059
exp3_lambda_fine,80,4,4,0.3874894045293331,0.017257582435271795,0.4188182353973388,0.3469272553920746,0.26678683813661336,0.03680599379950737,0.3655627369880676,0.2060438990592956,0.8317583203315735,0.03148558045612594,0.8800521492958069,0.779914379119873
exp4_guidance_scale,64,4,4,0.38616310665383935,0.016612882173757185,0.4179329574108124,0.3503652215003967,0.2671337726060301,0.04284571575943283,0.3701323866844177,0.2077680379152298,0.8317162208259106,0.033060887317125344,0.8849138021469116,0.7769944667816162
exp5_rbf_beta,64,4,4,0.3888133545406163,0.016871941214778172,0.4203223884105682,0.363184779882431,0.25673054717481136,0.03376494838359785,0.3336996734142303,0.197733998298645,0.8329031821340322,0.03324909384980927,0.8846476078033447,0.7878051996231079
exp_feature_layer,12,4,1,0.38453156252702075,0.017903136797836994,0.4138814806938171,0.3541901409626007,0.28703510016202927,0.04901901501602307,0.3696088194847107,0.217173546552658,0.8474784741799036,0.0337458280799597,0.8944730162620544,0.7948957681655884
exp_gaussian_reproduce,48,6,8,0.3867728002369404,0.01977952913686423,0.4220152795314789,0.3472894430160522,0.0,0.0,0.0,0.0,0.8775242591897646,0.022401410069774846,0.9142912030220032,0.8280269503593445
exp_num_particles,12,4,1,0.39214495321114856,0.017319053484764507,0.4211826026439667,0.3715199828147888,0.2530859212080638,0.03716857752247296,0.3048789501190185,0.1941594034433365,0.8381055146455765,0.03305156503030502,0.8767060041427612,0.79225754737854
exp_num_pts,6,2,1,0.3978814830382665,0.021601620800965407,0.4212329983711242,0.3766310811042785,0.2796887581547101,0.04508461318221791,0.3300616145133972,0.2322622835636139,0.8367309470971426,0.03663578630792759,0.8727467060089111,0.7969274520874023
exp_opacity_lr,6,2,1,0.394565870364507,0.02187102446675203,0.4151455760002136,0.3645706474781036,0.26846000552177424,0.04341904497705527,0.3259322345256805,0.2263705730438232,0.84405317902565,0.03744354978996592,0.8846948146820068,0.8074556589126587
