step,baseline_diversity_trace,ours_diversity_trace,delta,improvement_pct
000001,0.013458,0.0146712,0.00121317,9.01447
000100,0.00120453,0.16671,0.165505,13740.3
000200,0.00304181,0.186724,0.183683,6038.6
000300,0.000495584,0.169897,0.169401,34182.1
000400,0.000350557,0.16524,0.164889,47036.4
000500,0.000146664,0.172949,0.172802,117822
000600,0.00133867,0.172639,0.1713,12796.3
000700,0.000370274,0.153671,0.153301,41401.9
000800,0.000331467,0.176986,0.176654,53294.7
000900,0.00025705,0.170744,0.170487,66324.3
001000,0.00158265,0.147287,0.145705,9206.39
